=====================================================================================
LISTA DE MEDICAMENTOS CONTROLADOS - ORDEM ALFABÉTICA (sem considerar acentos)
Fonte: RDC 999/2025 e IN 360/2025
=====================================================================================

Total de medicamentos: 610

192. Dronabinol                                         | A3 - Substâncias Psicotrópicas
193. Droperidol                                         | C1 - Outras Substâncias de Controle Especial
194. Drostanolona                                       | C5 - Anabolizantes
195. Drotebanol                                         | A1 - Entorpecentes
196. dulaglutida                                        | Agonistas GLP-1
197. Duloxetina                                         | C1 - Outras Substâncias de Controle Especial
198. Ectiluréia                                         | C1 - Outras Substâncias de Controle Especial
199. Emilcamato                                         | C1 - Outras Substâncias de Controle Especial
200. Enflurano                                          | C1 - Outras Substâncias de Controle Especial
201. Entacapona                                         | C1 - Outras Substâncias de Controle Especial
202. eritromicina                                       | Antimicrobianos
203. ertapenem                                          | Antimicrobianos
204. Escetamina                                         | B1 - Psicotrópicos
205. Escitalopram                                       | C1 - Outras Substâncias de Controle Especial
206. espectinomicina                                    | Antimicrobianos
207. espiramicina                                       | Antimicrobianos
208. Estanolona                                         | C5 - Anabolizantes
209. Estanozolol                                        | C5 - Anabolizantes
210. Estazolam                                          | B1 - Psicotrópicos
211. Estiripentol                                       | C1 - Outras Substâncias de Controle Especial
212. estreptomicina                                     | Antimicrobianos
213. Eszopiclona                                        | B1 - Psicotrópicos
214. etambutol                                          | Antimicrobianos
215. Etclorvinol                                        | B1 - Psicotrópicos
216. Etilanfetamina (N-etilanfetamina)                  | B1 - Psicotrópicos
217. Etilestrenol                                       | C5 - Anabolizantes
218. Etilmetiltiambuteno                                | A1 - Entorpecentes
219. Etilmorfina                                        | A2 - Entorpecentes de Uso Especial
220. Etinamato                                          | B1 - Psicotrópicos
221. etionamida                                         | Antimicrobianos
222. Etizolam                                           | B1 - Psicotrópicos
223. Etomidato                                          | C1 - Outras Substâncias de Controle Especial
224. Etonitazeno                                        | A1 - Entorpecentes
225. Etoricoxibe                                        | C1 - Outras Substâncias de Controle Especial
226. Etossuximida                                       | C1 - Outras Substâncias de Controle Especial
227. Etoxeridina                                        | A1 - Entorpecentes
228. Facetoperano                                       | C1 - Outras Substâncias de Controle Especial
229. Femetrazina                                        | A3 - Substâncias Psicotrópicas
230. Femprobamato                                       | C1 - Outras Substâncias de Controle Especial
231. Femproporex                                        | B2 - Anorexígenos
232. Fenadoxona                                         | A1 - Entorpecentes
233. Fenaglicodol                                       | C1 - Outras Substâncias de Controle Especial
234. Fenampromida                                       | A1 - Entorpecentes
235. Fenazepam                                          | B1 - Psicotrópicos
236. Fenazocina                                         | A1 - Entorpecentes
237. Fenciclidina                                       | A3 - Substâncias Psicotrópicas
238. Fendimetrazina                                     | B2 - Anorexígenos
239. Fenelzina                                          | C1 - Outras Substâncias de Controle Especial
240. Fenetilina                                         | A3 - Substâncias Psicotrópicas
241. Feniprazina                                        | C1 - Outras Substâncias de Controle Especial
242. Fenitoina                                          | C1 - Outras Substâncias de Controle Especial
243. Fenobarbital                                       | B1 - Psicotrópicos
244. Fenomorfano                                        | A1 - Entorpecentes
245. Fenoperidina                                       | A1 - Entorpecentes
246. Fentanila                                          | A1 - Entorpecentes
247. Fentermina                                         | B2 - Anorexígenos
248. Flualprazolam                                      | B1 - Psicotrópicos
249. Flubromazolam                                      | B1 - Psicotrópicos
250. Fludiazepam                                        | B1 - Psicotrópicos
251. Flufenazina                                        | C1 - Outras Substâncias de Controle Especial
252. Flumazenil                                         | C1 - Outras Substâncias de Controle Especial
253. Flunitrazepam                                      | B1 - Psicotrópicos
254. Flunitrazolam                                      | B1 - Psicotrópicos
255. Fluoxetina                                         | C1 - Outras Substâncias de Controle Especial
256. Fluoximesterona                                    | C5 - Anabolizantes
257. Flupentixol                                        | C1 - Outras Substâncias de Controle Especial
258. Flurazepam                                         | B1 - Psicotrópicos
259. Fluvoxamina                                        | C1 - Outras Substâncias de Controle Especial
260. Folcodina                                          | A2 - Entorpecentes de Uso Especial
261. Formebolona                                        | C5 - Anabolizantes
262. fosfomicina                                        | Antimicrobianos
263. ftalilsulfatiazol                                  | Antimicrobianos
264. Ftalimidoglutarimida (talidomida)                  | C3 - Imunossupressores
265. Furetidina                                         | A1 - Entorpecentes
266. Gabapentina                                        | C1 - Outras Substâncias de Controle Especial
267. Galantamina                                        | C1 - Outras Substâncias de Controle Especial
268. gatifloxacina                                      | Antimicrobianos
269. GBL                                                | B1 - Psicotrópicos
270. gemifloxacino                                      | Antimicrobianos
271. gentamicina                                        | Antimicrobianos
272. Gestrinona                                         | C5 - Anabolizantes
273. GHB - (ácido gama - hidroxibutírico)               | B1 - Psicotrópicos
274. Glutetimida                                        | B1 - Psicotrópicos
275. gramicidina                                        | Antimicrobianos
276. Halazepam                                          | B1 - Psicotrópicos
277. Haloperidol                                        | C1 - Outras Substâncias de Controle Especial
278. Halotano                                           | C1 - Outras Substâncias de Controle Especial
279. Haloxazolam                                        | B1 - Psicotrópicos
280. Hidrato de cloral                                  | C1 - Outras Substâncias de Controle Especial
281. Hidroclorbezetilamina                              | C1 - Outras Substâncias de Controle Especial
282. Hidrocodona                                        | A1 - Entorpecentes
283. Hidromorfinol                                      | A1 - Entorpecentes
